UIN,event_name,event_topic,event_keywords,event_type,event_role,event_start_date,event_end_date,event_other_participants,other_participants_role,event_sponsor,event_location,event_city,event_country,event_link,event_processed_timestamp,event_inserted_timestamp,event_updated_timestamp,event_processed_date,event_inserted_date,event_updated_date,event_delete_flag_timestamp,event_processed_date timestamp,event_inserted_date timestamp
DL012199,2023 Asia Pacific Vascular Intervention Course,"Subcutaneous ICD, Remote Monitoring",Cardiovascular Disease,Course,Speaker,2023-12-16,2023-12-17,,,Asia Pacific Vascular Society,Hotel Leela Palace,New Delhi,India,https://apvs.in/wp-content/uploads/2023/12/APVIC-XV-programme-Day-1-2.pdf,9:39,9:39,,2025-04-17,2025-04-17,,,2025-04-17 09:39:32,2025-04-17 09:39:32
DL012278,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 2 - Hypertension 1 : Latest Guidelines,Hypertension,Conference,Chair,2023-12-07,2023-12-10,"Partha Sarathi Banerjee, C Venkata S Ram, Prabeen Kumar Rath, Dilip Kumar, Bijoy G Rajbanshi, Deepesh Agarwal, Bhanu Duggal",Chair,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,9:48,9:48,,2025-04-15,2025-04-15,,,2025-04-15 09:48:24,2025-04-15 09:48:24
DL012278,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 43 - CTO,Chronic Total Occlusion,Conference,Chair,2023-12-07,2023-12-10,"Gerald S Werner, D Seshagiri Rao, T R Raghu, Anand Gnanaraj, Arun Kalyanasundaram, Viji Samuel Thomson",Chair,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,9:48,9:48,,2025-04-15,2025-04-15,,,2025-04-15 09:48:24,2025-04-15 09:48:24
DL012278,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 76 - Hypertension 3 : Management,Hypertension,Conference,Chair,2023-12-07,2023-12-10,"Felix Mahfoud, Tiny Nair, Debabrata Roy, P P Mohanan, Ravi Kasliwal, A K Trivedi, M Sitaram",Chair,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,9:48,9:48,,2025-04-15,2025-04-15,,,2025-04-15 09:48:24,2025-04-15 09:48:24
DL012278,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 123 - Highlights,Cardiology,Conference,Chair,2023-12-07,2023-12-10,"Partha Sarkar, Swapan Kumar Halder, Indranil Dutta, S N Mohapatra, Ajit Venkatesh Kabde",Chair,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,9:48,9:48,,2025-04-15,2025-04-15,,,2025-04-15 09:48:24,2025-04-15 09:48:24
DL012278,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 126 - Best Oral Abstract & E Poster Presentations,Cardiology,Conference,Judge,2023-12-07,2023-12-10,"Upendra Kaul, I B Vijayalaxmi, Kajal Ganguly, Partha Sarathi Banerjee, Viji Samuel Thomson",Judge,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,9:48,9:48,,2025-04-15,2025-04-15,,,2025-04-15 09:48:24,2025-04-15 09:48:24
DL012278,2021 Annual Virtual Conference of Cardiological Society of India Delhi Branch,Oils in my diet: Demystified,Cardiology,Conference,Speaker,2021-03-20,2021-03-21,,,Cardiological Society of India - Delhi Branch,,,,https://www.csidelhi.in/fassets/download/1489402796_s_CSI-final-agenda.pdf,9:48,9:48,,2025-04-15,2025-04-15,,,2025-04-15 09:48:24,2025-04-15 09:48:24
DL012278,2021 Annual Virtual Conference of Cardiological Society of India Delhi Branch,Time and Target Management,Cardiology,Conference,Moderator,2021-03-20,2021-03-21,"Ashish Govil, Jamal Yusuf, Sanjay Sood, Aparna Jaiswal, Sunil Attri",Moderator,Cardiological Society of India - Delhi Branch,,,,https://www.csidelhi.in/fassets/download/1489402796_s_CSI-final-agenda.pdf,9:48,9:48,,2025-04-15,2025-04-15,,,2025-04-15 09:48:24,2025-04-15 09:48:24
DL012278,2021 Annual Virtual Conference of Cardiological Society of India Delhi Branch,Col.KL Chopra Award Paper Session,Cardiology,Conference,Judge,2021-03-20,2021-03-21,"Harsh Wardhan, Kk Sethi, Jc Mohan",Judge,Cardiological Society of India - Delhi Branch,,,,https://www.csidelhi.in/fassets/download/1489402796_s_CSI-final-agenda.pdf,9:48,9:48,,2025-04-15,2025-04-15,,,2025-04-15 09:48:24,2025-04-15 09:48:24
DL016130,2021 Webinar on Discussion on menopause and osteoporosis,Discussion on menopause and osteoporosis,Osteoporosis,Webinar,Speaker,2021-10-30,2021-10-30,,,Sitaram Bhartia Institute of Science and Research,,,,https://www.facebook.com/sitarambhartia/videos/join-the-discussion-on-menopause-and-osteoporosis-with-dr-priti-arora-dhamija-ob/866761907314472/,16:03,16:03,,2025-05-05,2025-05-05,,,2025-05-05 16:03:01,2025-05-05 16:03:01
DL016130,2020 Webinar on How to Control Thyroid during Pregnancy | Effects on Mom and Baby and Treatment,How to Control Thyroid during Pregnancy | Effects on Mom and Baby and Treatment,Thyroid,Webinar,Speaker,2020-09-04,2020-09-04,,,Sitaram Bhartia Institute of Science and Research,,,,https://www.youtube.com/watch?v=sWyzRl37e8k,16:03,16:03,,2025-05-05,2025-05-05,,,2025-05-05 16:03:01,2025-05-05 16:03:01
DL016796,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,Discussion on Cardiology,Cardiology,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:32,18:32,,2025-04-18,2025-04-18,,,2025-04-18 18:32:47,2025-04-18 18:32:47
DL016796,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,"Distal LMCA Heavily Calcified, Bifurcation Angioplasty WithImpella Support & Orbital Arthrectomy IVUS",Bifurcation,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:32,18:32,,2025-04-18,2025-04-18,,,2025-04-18 18:32:47,2025-04-18 18:32:47
DL016796,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,Calcified Proximal Lad PtcawithIVLF/B Late Cardiac Tamponade Nightmare In Cath Lab Just Survived,Cardiac Disease,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:32,18:32,,2025-04-18,2025-04-18,,,2025-04-18 18:32:47,2025-04-18 18:32:47
DL016796,2025 Complex and High-risk Interventional Procedures-Chronic Total Occlusion India Conference,"ISR Proximal LAD CTO , Perforation (Nightmare) To Success",Chronic Total Occlusion,Conference,Speaker,2025-01-30,2025-02-01,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://chipctoindia.com/assets/scientific-agenda.pdf,18:32,18:32,,2025-04-18,2025-04-18,,,2025-04-18 18:32:47,2025-04-18 18:32:47
DL016796,2024 National Conference of Indian College of Cardiology,Chip Substrate PT with Radial Route,Cardiology,Conference,Speaker,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,18:32,18:32,,2025-04-18,2025-04-18,,,2025-04-18 18:32:47,2025-04-18 18:32:47
DL016796,2023 Cardiological Society of India - National Interventional Council (CSINIC) Mid Term Meeting,Distal LMCA Heavily Calcified Bifurcation Angioplasty with Orbital Atherectomy and Impella Support,Bifurcation,Meeting,Speaker,2023-06-29,2023-07-02,,,Cardiological Society of India,Hyderabad International Convention Centre Novotel,Hyderabad,India,https://www.csi.org.in/frontend/assets/assets/16th%20June%202023%20-%20CSI%20NIC%202023%20-%20Scientific%20Program.pdf,18:32,18:32,,2025-04-18,2025-04-18,,,2025-04-18 18:32:47,2025-04-18 18:32:47
DL016796,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Distal LMCA Heavily Calcified Bifurcation Angioplasty with Impella Support Orbital Atherectomy IVUS Optimization in CHIP Substrate PT via Radial Route,Bifurcation,Conference,Speaker,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,18:32,18:32,,2025-04-18,2025-04-18,,,2025-04-18 18:32:47,2025-04-18 18:32:47
DL016796,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,"Mechanical Support PCI: ""Lion Heated Approach""",Percutaneous Coronary Intervention,Conference,Panellist,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,18:32,18:32,,2025-04-18,2025-04-18,,,2025-04-18 18:32:47,2025-04-18 18:32:47
DL021065,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Challenges in Diagnosis of Cardiac Sarcoidosis - An Observational Study from Tertiary Care Hospital,Cardiac Disease,Conference,Poster Co-Author,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,15:58,15:58,,2025-04-16,2025-04-16,,,2025-04-16 15:58:18,2025-04-16 15:58:18
DL021065,2024 National Conference of Indian College of Cardiology,Early Stent Failure with Ultrathin DES,Cardiology,Conference,Speaker,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,15:58,15:58,,2025-04-16,2025-04-16,,,2025-04-16 15:58:18,2025-04-16 15:58:18
DL021065,2024 National Conference of Indian College of Cardiology,Session 17 - STEMI,STEMI,Conference,Panellist,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,15:58,15:58,,2025-04-16,2025-04-16,,,2025-04-16 15:58:18,2025-04-16 15:58:18
DL022001,2021 Annual Virtual Conference of Cardiological Society of India Delhi Branch,Antiplatelet ACS and CCS-digging deep,Cardiology,Conference,Chair,2021-03-20,2021-03-21,"S Anuradha, Bb Kukreti, Ripen Gupta, Ak Omar, S K Agarwal",Chair,Cardiological Society of India - Delhi Branch,,,,https://www.csidelhi.in/fassets/download/1489402796_s_CSI-final-agenda.pdf,12:42,12:42,,2025-04-22,2025-04-22,,,2025-04-22 12:42:25,2025-04-22 12:42:25
DL022001,2021 Annual Virtual Conference of Cardiological Society of India Delhi Branch,Time and Target Management,Cardiology,Conference,Moderator,2021-03-20,2021-03-21,"S C Manchanda, Jamal Yusuf, Sanjay Sood, Aparna Jaiswal, Sunil A",Moderator,Cardiological Society of India - Delhi Branch,,,,https://www.csidelhi.in/fassets/download/1489402796_s_CSI-final-agenda.pdf,12:42,12:42,,2025-04-22,2025-04-22,,,2025-04-22 12:42:25,2025-04-22 12:42:25
DL022001,2021 Annual Virtual Conference of Cardiological Society of India Delhi Branch,Imaging & Physiology Assessment,Cardiology,Conference,Panellist,2021-03-20,2021-03-21,"Jamal Yusuf, Rajesh Vijayverghiya, Rr Mantri, Ripen Gupta, Ranjit Nath, Suman Bhandari",Panellist,Cardiological Society of India - Delhi Branch,,,,https://www.csidelhi.in/fassets/download/1489402796_s_CSI-final-agenda.pdf,12:42,12:42,,2025-04-22,2025-04-22,,,2025-04-22 12:42:25,2025-04-22 12:42:25
DL024272,2023 India Live Cardiology Conference,ACS Intervention - Special Scenarios,Intervention,Conference,Speaker,2023-03-15,2023-03-18,"Gautam Sharma, Raj Pratap, Snehal Kothari",Speaker,,Hotel ITC Grand Chola,Chennai,India,https://promeetings.live/Indialive2023/index5.php#tg-schedule,12:43,12:43,,2025-05-06,2025-05-06,,,2025-05-06 12:43:40,2025-05-06 12:43:40
DL024384,2021 Annual Virtual Conference of Cardiological Society of India Delhi Branch,Lifestyle & Prevention Cardiology,Cardiology,Conference,Chair,2021-03-20,2021-03-21,,,Cardiological Society of India - Delhi Branch,,,,https://www.csidelhi.in/fassets/download/1489402796_s_CSI-final-agenda.pdf,10:01,10:01,,2025-04-18,2025-04-18,,,2025-04-18 10:01:07,2025-04-18 10:01:07
DL024969,2024 National Conference of Indian College of Cardiology,Strain in the Main: Left Main Dissection,Cardiology,Conference,Speaker,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,12:11,12:11,,2025-05-14,2025-05-14,,,2025-05-14 12:11:22,2025-05-14 12:11:22
DL024969,2024 National Conference of Indian College of Cardiology,Double Trouble: Perforation and Stent Dislodgement,Cardiology,Conference,Speaker,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,12:11,12:11,,2025-05-14,2025-05-14,,,2025-05-14 12:11:22,2025-05-14 12:11:22
DL024969,2024 National Conference of Indian College of Cardiology,Life Stuck in a Burr: Stuck Rota Burr Case,Cardiology,Conference,Speaker,2024-09-20,2024-09-22,,,Indian College of Cardiology,Swosti Premium Beach Resort,Puri,India,https://promeetings.in/ICCCON2024/Brochure/Scientific_Agenda_ICCCON2024.pdf,12:11,12:11,,2025-05-14,2025-05-14,,,2025-05-14 12:11:22,2025-05-14 12:11:22
DL025031,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Complex high risk transradial intervention (12 min,Intervention,Conference,Speaker,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,9:24,9:24,,2025-04-28,2025-04-28,,,2025-04-28 09:24:03,2025-04-28 09:24:03
DL025917,2022 Indian Association of Cardiovascular-Thoracic Surgeons Technocollege,Discussion on Cardiovascular-Thoracic Surgeons,Cardiovascular Disease,Conference,Speaker,2022-08-20,2022-08-21,,,For Fortis Escorts Research institute,"Roseate House, Aerocity",New Delhi,India,https://www.iacts.org/sites/iacts-technocollege/#program,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2025 Global Multi-specialty Robotic Surgery Conference,Robotic Assisted CABG,Coronary Artery Bypass Grafting,Conference,Speaker,2025-03-08,2025-03-09,,,Sudhir Srivastava Innovations Pvt. Ltd,The Leela Ambience Hotel,Gurugram,India,https://ssinnovations.com/SMRSC-2025/faculty.html#,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2025 Society of Minimally Invasive Cardiovascular and Thoracic Surgeons of India Mid Term Meeting,Minimally Invasive multi arterial bypass on pump,Cardiology,Conference,Speaker,2025-01-11,2025-01-12,,,Society of Minimally Invasive Cardiovascular and Thoracic Surgeons,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,India,https://www.iacts.org/sites/default/files/brochure_-_smiscti_midterm_2025-.pdf,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2025 Indian Association of Cardiovascular Thoracic Surgeons Annual Conference,Multivessel MICS - CABG On Pump,Coronary Artery Bypass Grafting,Conference,Speaker,2025-02-20,2025-02-23,,,Indian Association of Cardiovascular Thoracic Surgeons,Hotel Pullman,New Delhi,India,https://iactscon2025.com/pdf/Day%203.pdf,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2025 Indian Association of Cardiovascular Thoracic Surgeons Annual Conference,GDMT Post Revascularization - Continue the Advantages,Cardiology,Conference,Speaker,2025-02-20,2025-02-23,,,Indian Association of Cardiovascular Thoracic Surgeons,Hotel Pullman,New Delhi,India,https://iactscon2025.com/pdf/Day%204.pdf,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2025 Indian Association of Cardiovascular Thoracic Surgeons Annual Conference,Miscellaneous,Cardiology,Conference,Moderator,2025-02-20,2025-02-23,,,Indian Association of Cardiovascular Thoracic Surgeons,Hotel Pullman,New Delhi,India,https://iactscon2025.com/pdf/Day%204.pdf,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2025 Indian Association of Cardiovascular Thoracic Surgeons Annual Conference,Discussion on Coronary Intervention,Coronary Intervention,Conference,Speaker,2025-02-20,2025-02-23,,,Indian Association of Cardiovascular Thoracic Surgeons,Hotel Pullman,New Delhi,India,https://iactscon2025.com/national-faculty.html,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2021 World Heart Day,"How to identify the early warning signs of heart disease, and how to take preventive measures",Heart Disease,Webinar,Speaker,2021-09-29,2021-09-29,,,Fortis Escorts Heart Institute,,New Delhi,India,https://www.youtube.com/watch?v=9qqXcdwoooA,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2020 Heart Valve Symposium,Biological Prosthesis in Young Patients,Cardiology,Symposium,Speaker,2020-11-01,2020-11-01,,,Cardiology Lectures DM DNB,,New Delhi,India,https://www.youtube.com/watch?v=DwTAznbW3FE,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2020 Heart Valve Symposium,"Closing Remarks, Discussions",Cardiology,Symposium,Speaker,2020-11-01,2020-11-01,,,Cardiology Lectures DM DNB,,New Delhi,India,https://www.youtube.com/watch?v=DwTAznbW3FE,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Challenging CD Presentation 24 - Complications Related to Interventions,Cardiovascular Disease,Conference,Panellist,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL025917,2024 India Live Cardiology Conference,Discussion on Cardiology,Cardiology,Conference,Speaker,2024-02-29,2024-03-03,,,,Taj Palace,New Delhi,India,https://indialiveintcardiology.com/Backup2024/Home/program.php,10:06,10:06,,2025-04-26,2025-04-26,,,2025-04-26 10:06:27,2025-04-26 10:06:27
DL027506,2023 Annual Conference of the Cardiological Society of India,Session 11 - Live Case 1 & 2 : TAVI,Transcatheter Aortic Valve Implantation,Conference,Panellist,2023-07-12,2023-10-12,"K Padmanabh Kamath, Rufus Demel, Maulik Parekh",Panellist,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,17:18,17:18,,2025-04-18,2025-04-18,,,2025-04-18 17:18:35,2025-04-18 17:18:35
DL027506,2023 Annual Conference of the Cardiological Society of India,Session 42 - Live Case 7 & 8 : TAVI,Transcatheter Aortic Valve Implantation,Conference,Panellist,2023-07-12,2023-10-12,"Naresh Kumar Bansal, Javed Ali Khan, G M Chandak, Kunal Mahajan",Panellist,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,17:18,17:18,,2025-04-18,2025-04-18,,,2025-04-18 17:18:35,2025-04-18 17:18:35
DL027506,2024 Echo Delhi Mid-Term,Rapid Fire: Case Potpurri,Health Care,CME,Moderator,2024-10-06,2024-10-06,,,Apex Society For CME In Cardiology,Le Meridien,New Delhi,India,https://www.echodelhi.com/assets/brochure/Echo-Delhi-MIDTERM-2024.pdf,17:18,17:18,,2025-04-18,2025-04-18,,,2025-04-18 17:18:35,2025-04-18 17:18:35
DL027506,2025 Medanta Echo n Cardiology Today & Tomorrow Conference ,Session VI Echocardiography: The Show Stopper,Echocardiography,Conference,Chair,2025-04-12,2025-04-13,,,,The Leela Ambience Hotel,Gurugram,India,https://www.echoncardiology.com/pdf/Announcement.pdf,17:18,17:18,,2025-04-18,2025-04-18,,,2025-04-18 17:18:35,2025-04-18 17:18:35
GJ002952,2025 International Conference on Metabolic Diseases,From Concept to Clinic,Metabolic Diseases,Conference,Speaker,2025-01-11,2025-01-11,,,Swasthya Diabetes Care,,Ahmedabad,India,https://swasthyacon.org/wp-content/uploads/2025/01/swasthya-con-2025-PROGRAM_SCHEDULE-2.pdf,16:51,16:51,,2025-04-15,2025-04-15,,,2025-04-15 16:51:30,2025-04-15 16:51:30
GJ006106,2024 U N Mehta Institute of Cardiology & Research Centre Meeting- Jully,Transseptal Puncture,Cardiology,Meeting,Speaker,2024-07-06,2024-07-28,,,U. N. Mehta Institute of Cardiology & Research Centre,Civil Hospital,Ahmedabad,India,https://www.unmicrc.org/Admin/FilesCMS/GeneralDocument/heart_today_june_2024_english.pdf,11:54,11:54,,2025-05-10,2025-05-10,,,2025-05-10 11:54:05,2025-05-10 11:54:05
GJ006106,2025 U N Mehta Institute of Cardiology & Research Centre Meeting- March,Treatment of Heart Failure with Preserved Ejecon Fracon (HFpEF),Heart Failure,Meeting,Speaker,2025-03-01,2025-03-29,,,U. N. Mehta Institute of Cardiology & Research Centre,Civil Hospital,Ahmedabad,India,https://www.unmicrc.org/Admin/FilesCMS/GeneralDocument/heart_today_february_2025_english.pdf,11:54,11:54,,2025-05-10,2025-05-10,,,2025-05-10 11:54:05,2025-05-10 11:54:05
GJ010523,2021 Annual Hybrid Meeting of the IM-American College of Physicians India,Vitamin-D: Discovery of the century,Health Care,Meeting,Speaker,2021-12-10,2021-12-12,"M Shunmugavelu, Manoj Chawla","Chair, Co-Chair",American College of Physicians,Hotel Hyatt Centric,Candolim,India,https://www.acponline.org/sites/default/files/documents/about_acp/international/chapters/ind_annual_meeting_agenda.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2025 Scientific Meeting of Asian Association for the Study of Diabetes,Discussion On Diabetes,Diabetes,Meeting,Speaker,2025-03-28,2025-03-30,,,Asian Association for the Study of Diabetes,Taipei International Convention Center,Taipei,Taiwan,https://aasd2025.tw/storage/speaker_pdfs/PSk5qbzRI2I8EN8q5ywvszx2HrTY2H3VKMUWdy05.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2025 CME on Management of Hypoglycemia in Diabetes,Management Of Hypoglycemia In Diabetes,Diabetes,CME,Speaker,2025-01-01,2025-01-01,,,Roche Diabetes,,,,https://rochediabetes.docmode.org/view/series-2/,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2024 Diabetes Update Kolkata,Newer Insulins / Analogues- Do These Impact Outcomes?,Insulin,Conference,Speaker,2024-09-01,2024-09-01,,,Kolkata Diabetes Initiative & Kolkata Diabetes and Endocrinology,Hotel Taj Bengal,Kolkata,India,https://kolkatadiabetesinitiative.org/documents/43e8e76eed58053360b743b215c5244a.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2020 Diabetes Virtual Congress,Organizing Committee,Diabetes,Congress,Member,2020-06-20,2020-06-21,,,Indian Academy of Diabetes,,,,https://www.pcdeurope.org/wp-content/uploads/2020/06/Diavcon.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2023 Annual Conference Obesity India,Oral Glp1 Receptor Agonist,Obesity,Conference,Chair,2023-12-02,2023-12-03,Rakesh Parikh,Co-Chair,Diabetes Care Foundation of India,Radisson Blu Hotel,Nagpur,India,https://www.aiaaro.in/pdf/obesity-india.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2023 Advanced Certificate Course In Diabetes,Discussion On Diabetes,Diabetes,Conference,Chair,2023-08-26,2023-08-27,"Shashank Joshi, Jk Sharma",Co-Chair,European Association for the Study of Diabetes,Pullman New Delhi Aerocity,New Delhi,India,https://www.accd.in/accd2023/pdf/Scientific-Programe.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2023 Advanced Certificate Course In Diabetes,Type 1 Diabetes – What We Need To Do?,Diabetes,Conference,Speaker,2023-08-26,2023-08-27,,,European Association for the Study of Diabetes,Pullman New Delhi Aerocity,New Delhi,India,https://www.accd.in/accd2023/pdf/Scientific-Programe.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2023 World Congress of Diabetes Technology and Therapeutics,Tech Monotherapy = MDI + CGM,Diabetes,Congress,Speaker,2023-05-05,2023-05-07,,,Dtech,Radisson Blu Plaza Delhi Airport,New Delhi,India,https://dtechcon.com/assets/img/program_new.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2023 World Congress of Diabetes Technology and Therapeutics,Technology Use: Where Is The Rest Of The World,Diabetes,Congress,Speaker,2023-05-05,2023-05-07,,,Dtech,Radisson Blu Plaza Delhi Airport,New Delhi,India,https://dtechcon.com/assets/img/program_new.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2023 World Congress of Diabetes Technology and Therapeutics,Strength & Limitations Of Professional Blinded Cgm,Diabetes,Congress,Speaker,2023-05-05,2023-05-07,,,Dtech,Radisson Blu Plaza Delhi Airport,New Delhi,India,https://dtechcon.com/assets/img/program_new.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2023 World Congress of Diabetes Technology and Therapeutics,Outlook And Concluding Remarks,Diabetes,Congress,Speaker,2023-05-05,2023-05-07,,,Dtech,Radisson Blu Plaza Delhi Airport,New Delhi,India,https://dtechcon.com/assets/img/program_new.pdf,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2024 European Congress on Obesity,Overcoming Obesity And Type-2-Diabetes In Indian Population: A Holistic Lifestyle Intervention Approach,Diabetes,Congress,Co-Author,2024-05-12,2024-05-15,"Pramod Tripathi, Diptika Tiwari, Nidhi Kadam, Thejas Kathrikolly, Anagha Vyawahare, Baby Sharma, Malhar Ganla, Nishikant Bhanagay, Amruta Prabhu, Pournima Kulkarni",Co-Author,European Association for the Study of Obesity,Venice Convention Center,Venice,Italy,https://eco2024.org/assets/docs/draft-programme.pdf?a=7890,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
GJ010523,2024 European Congress on Obesity,Effect Of A Year-Long Lifestyle Intervention Program On Metabolic Health In Individuals With Obesity In India,Obesity,Congress,Co-Author,2024-05-12,2024-05-15,"Pramod Tripathi, Anagha Vyawahare, Nidhi Kadam, Malhar Ganla, Thejas Kathrikolly, Diptika Tiwari, Baby Sharma, Nishikant Bhanagay",Co-Author,European Association for the Study of Obesity,Venice Convention Center,Venice,Italy,https://eco2024.org/assets/docs/draft-programme.pdf?a=7890,10:27,10:27,,2025-05-07,2025-05-07,,,2025-05-07 10:27:27,2025-05-07 10:27:27
